,Client,Product Code,Description,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
148,P2C,HOODIE-MAR-XXL,Original Hoodie - Maroon Size XXL (Each),12,0,0,0,0,0,0,0,0,1,5,11,29,0.6,16,28.7,0
149,P2C,HOODIE-ORNG-L,Hoodie - Orange L (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27,,0
150,P2C,HOODIE-ORNG-M,Hoodie - Orange M (EACH),1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,"1,300.0",0
151,P2C,HOODIE-ORNG-XL,Hoodie - Orange Xl (EACH),1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,"1,248.0",0
152,P2C,HOODIE-ORNG-XXL,Hoodie - Orange Xxl (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,,0
153,P2C,HOODIE-PR-BLA-L,Hoodie - Black Printed Size L (EACH),13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,39,156.0,0
154,P2C,HOODIE-PR-BLA-M,Hoodie - Black Printed Size M (EACH),12,0,0,0,0,0,0,0,0,0,0,0,12,0.2,31,134.3,0
155,P2C,HOODIE-PR-BLA-XL,Hoodie - Black Printed Size Xl (EACH),11,0,0,0,0,0,0,0,0,0,0,0,11,0.2,5,23.6,0
156,P2C,HOODIE-TAN-L,Hoodie - Tan Size L (EACH),26,0,0,0,0,0,0,0,0,0,0,0,26,0.5,0,0,0
157,P2C,HOODIE-TAN-M,Hoodie - Tan Size M (EACH),29,0,0,0,0,0,0,0,0,0,0,0,29,0.6,0,0,0
158,P2C,HOODIE-TAN-XL,Hoodie - Tan Size Xl (EACH),13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,0,0,0
159,P2C,HOODIE-TAN-XXL,Hoodie - Tan Size Xxl (EACH),8,0,0,0,0,0,0,0,0,0,0,0,8,0.2,3,19.5,12
160,P2C,HOODIE-ZIP-L,Zip Up Original Hoodie - Black Size L (Each),0,0,4,1,2,3,4,4,2,5,2,2,29,0.6,0,0,9
161,P2C,HOODIE-ZIP-M,Zip Up Original Hoodie - Black Size M (Each),0,8,6,1,1,1,4,2,0,5,1,3,32,0.6,0,0,3
162,P2C,HOODIE-ZIP-S,Zip Up Original Hoodie - Black Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15
163,P2C,HOODIE-ZIP-XL,Zip Up Original Hoodie - Black Size XL (Each),0,4,3,3,1,2,0,2,1,1,2,5,24,0.5,0,0,6
164,P2C,HOODIE-ZIP-XXL,Zip Up Original Hoodie - Black Size XXL (Each),0,0,0,0,2,4,0,0,3,4,3,1,17,0.3,0,0,12
165,P2C,HOODPREM,Premium Hooded Poncho (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15
166,P2C,HOODRAND,Hooded Poncho - Random (EACH),2,0,0,3,3,1,3,0,0,0,0,1,13,0.3,3,12.0,3
167,P2C,HOODRED,Hooded Poncho - Red (EACH),5,13,2,2,2,7,8,3,5,6,2,9,64,1.2,4,3.3,18
168,P2C,HOODTANK-WHI-XXL,Sleeveless Droptail Hoodie - White Size XXL (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15
169,P2C,JOX-BLA-L,Underwear-Black-L (EACH),2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,120,"3,120.0",0
170,P2C,JOX-BLA-M,Underwear-Black-M (EACH),2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,86,"2,236.0",0
171,P2C,JOX-BLA-XL,Underwear-Black-Xl (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,76,,0
172,P2C,JOX-GRE-L,Underwear-Grey-L (EACH),2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,66,"1,716.0",0
173,P2C,JOX-GRE-M,Underwear-Grey-M (EACH),4,0,0,0,0,0,0,0,0,0,0,0,4,0.1,58,754.0,0
174,P2C,JOX-GRE-XL,Underwear-Grey-Xl (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,58,,0
175,P2C,LATE-NOTE,$20 Voucher (Each),43,23,98,159,0,0,0,0,0,0,0,0,323,6.2,425,68.4,0
176,P2C,LAY-AG-L,Layered Tees - Without print - Army Green L (EACH),9,1,0,0,0,0,0,0,0,0,0,0,10,0.2,0,0,27
177,P2C,LAY-AG-M,Layered Tees - Without print - Army Green M (EACH),2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,6
