,Client,Product Code,Description,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,May-16,Apr-16,Mar-16,Feb-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
175,P2C,LEATH-P-L,Leather Patch Tee -  Size L (EACH),4,4,3,1,6,1,2,2,0,0,0,0,23,0.4,7,15.8,12
176,P2C,LEATH-P-M,Leather Patch Tee -  Size M (EACH),0,2,3,4,3,1,1,6,0,0,0,0,20,0.4,5,13.0,3
177,P2C,LEATH-P-S,Leather Patch Tee -  Size S (EACH),1,0,0,1,1,1,0,1,0,0,0,0,5,0.1,0,0.0,3
178,P2C,LEATH-P-XL,Leather Patch Tee -  Size XL (EACH),1,2,2,1,5,2,4,1,0,0,0,0,18,0.3,7,20.2,3
179,P2C,LEATH-P-XXL,Leather Patch Tee -  Size XXL (EACH),0,0,7,1,6,3,1,0,0,0,0,0,18,0.3,0,0.0,15
180,P2C,LEATH-PA-L,Leather Patch Tee -  Size L (EACH),0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0.0,15
181,P2C,LONG-BLA-L,Long Black Tee -  Size L (EACH),0,1,8,8,7,7,6,7,0,0,0,0,44,0.8,0,0.0,3
182,P2C,LONG-BLA-M,Long Black Tee -  Size M (EACH),6,11,3,4,0,3,4,6,0,0,0,0,37,0.7,0,0.0,6
183,P2C,LONG-BLA-S,Long Black Tee -  Size S (EACH),0,0,0,0,0,0,3,1,0,0,0,0,4,0.1,0,0.0,15
184,P2C,LONG-BLA-XL,Long Black Tee -  Size XL (EACH),2,4,4,8,7,5,6,6,0,0,0,0,42,0.8,0,0.0,9
185,P2C,LONG-BLA-XXL,Long Black Tee -  Size XXL (EACH),0,0,0,0,9,3,8,2,0,0,0,0,22,0.4,0,0.0,15
186,P2C,LONG-WHI-L,Long White Tee -  Size L (EACH),9,9,3,5,8,4,2,7,0,0,0,0,47,0.9,3,3.3,27
187,P2C,LONG-WHI-M,Long White Tee -  Size M (EACH),5,5,4,5,1,3,0,5,0,0,0,0,28,0.5,21,39.0,5
188,P2C,LONG-WHI-S,Long White Tee -  Size S (EACH),0,1,1,0,0,1,0,1,0,0,0,0,4,0.1,1,13.0,0
189,P2C,LONG-WHI-XL,Long White Tee -  Size XL (EACH),4,8,3,6,3,2,2,2,0,0,0,0,30,0.6,5,8.7,18
